,time,moving,distance,gap_distance,watts,watts_calc,heartrate,cadence,velocity_smooth,pace,gap,lat,lng,temp,altitude,altitude_smooth,grade_smooth,distance_calc(m),gps_delta(m),weight_bike_rider_50,weight_bike_rider_60,weight_bike_rider_70,weight_bike_rider_80,weight_bike_rider_90,weight_bike_rider_100,weight_bike_rider_110,weight_bike_rider_120,speed_from_sensor(m/s),speed_from_gps(m/s),wind_resistance_sensor(N),wind_resistance_gps(N),accel_sensor(m2/s),accel_gps(m2/s)
2382,2382,   true,26124.1,26447.2,224,300,145,86,11.2,0.08964143426295015,0.08875739644970605,51.209746,-0.262691,11,74.6,73.50322580645164,0.0,26102.2082835568,11.11044545164809,50,60,70,80,90,100,110,120,11.19999999999709,11.110445451649866,42.30312092157802,41.62931898812351,0.09999999999490683,0.06724006655349513
2383,2383,   true,26135.1,26458.3,216,261,145,86,11.1,0.08982035928143647,0.0890207715133512,51.209762,-0.262536,11,74.6,73.55483870967744,0.4,26113.151241441956,10.942957885157204,50,60,70,80,90,100,110,120,11.0,10.94295788515592,40.80578469,40.38367322168756,-0.19999999999708962,-0.16748756649394636
2384,2384,   true,26146.2,26469.6,214,293,145,86,11.1,0.08973080757726884,0.08893280632411324,51.209773999999996,-0.26237699999999997,11,74.6,73.61290322580646,0.9,26124.307328628627,11.156087186669811,50,60,70,80,90,100,110,120,11.100000000002183,11.156087186671357,41.55108042691634,41.97204818424094,0.10000000000218279,0.21312930151543696
2385,2385,   true,26157.5,26481.0,265,477,144,86,11.1,0.08937437934458724,0.08858267716535559,51.209787,-0.26221700000000003,11,74.8,73.67741935483872,0.9,26135.546336212803,11.239007584174548,50,60,70,80,90,100,110,120,11.299999999999272,11.239007584175852,43.06190617409446,42.59830237249321,0.19999999999708962,0.08292039750449476
2386,2386,   true,26168.6,26492.3,320,430,145,86,11.1,0.08910891089108912,0.088321884200195,51.209794,-0.262058,11,75.0,73.74838709677421,0.9,26146.64964886378,11.103312650974006,50,60,70,80,90,100,110,120,11.099999999998545,11.103312650975568,41.55108042688911,41.575884889274576,-0.2000000000007276,-0.13569493320028414
2387,2387,   true,26179.8,26503.7,303,300,145,87,11.1,0.08893280632411002,0.08832188420019818,51.209798,-0.261898,11,75.0,73.81935483870969,0.9,26157.804175665042,11.154526801264414,50,60,70,80,90,100,110,120,11.200000000000728,11.154526801263273,42.303120921605505,41.96030786879454,0.10000000000218279,0.051214150287705706
2388,2388,   true,26191.1,26515.1,287,307,145,88,11.2,0.08849557522123831,0.08806262230919702,51.209798,-0.261736,11,75.0,73.88387096774194,0.4,26169.089151488974,11.284975823930758,50,60,70,80,90,100,110,120,11.299999999999272,11.284975823931745,43.06190617409446,42.947474392955776,0.09999999999854481,0.13044902266847203
2389,2389,   true,26202.5,26526.5,309,476,145,89,11.3,0.08823529411764705,0.08806262230919702,51.209796999999995,-0.261574,11,75.2,73.95483870967742,0.0,26180.374675243947,11.285523754974896,50,60,70,80,90,100,110,120,11.400000000001455,11.285523754973838,43.82743618441119,42.95164504002838,0.10000000000218279,0.0005479310420923866
2390,2390,   true,26213.9,26537.9,265,306,145,89,11.3,0.08840864440078648,0.088321884200195,51.209795,-0.26141,11,75.2,74.02580645161291,0.0,26191.801136612317,11.42646136836891,50,60,70,80,90,100,110,120,11.400000000001455,11.426461368369928,43.82743618441119,44.031134413336325,0.0,0.14093761339609046
2391,2391,   true,26225.3,26549.1,218,144,144,89,11.3,0.088321884200195,0.088321884200195,51.209793,-0.261247,11,75.0,74.09032258064516,-0.9,26203.157951401856,11.356814789538172,50,60,70,80,90,100,110,120,11.399999999997817,11.356814789538475,43.827436184383224,43.49601300536588,-3.637978807091713e-12,-0.06964657883145264
2392,2392,   true,26236.8,26560.5,197,322,144,88,11.4,0.08823529411764705,0.08840864440078648,51.209790999999996,-0.261083,11,75.0,74.1548387096774,-0.9,26214.58441376237,11.426462360514591,50,60,70,80,90,100,110,120,11.5,11.42646236051587,44.599710952500004,44.03114205967788,0.10000000000218279,0.06964757097739493
